,precision,recall,f1-score,support
1,0.9428571428571428,0.9041095890410958,0.9230769230769231,73.0
2,0.65,0.7647058823529411,0.7027027027027027,17.0
accuracy,0.8777777777777778,0.8777777777777778,0.8777777777777778,0.8777777777777778
macro avg,0.7964285714285715,0.8344077356970185,0.812889812889813,90.0
weighted avg,0.8875396825396824,0.8777777777777778,0.8814506814506815,90.0
