mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score
2.56109219789505,0.1870989913247254,0.16011172533035278,0.012239628044405322,0.31489116479568624,{'C': np.float64(0.31489116479568624)},0.7752247752247752,0.8636068413076423,0.7739209865266042,0.711038961038961,0.7809478910244957,0.05431825658771089,1
2.9795103669166565,0.4833464328269807,0.15235388278961182,0.025950155766354076,63.512210106407046,{'C': np.float64(63.512210106407046)},0.7115384615384616,0.7445161290322582,0.6495956873315364,0.6620253164556962,0.6919188985894881,0.03819776290744513,2
3.1332457065582275,0.3804603887476292,0.12898248434066772,0.0067036809392458496,8.471801418819979,{'C': np.float64(8.471801418819979)},0.7115384615384616,0.7445161290322582,0.6495956873315364,0.6620253164556962,0.6919188985894881,0.03819776290744513,2
3.123539388179779,0.2049380861329961,0.13460499048233032,0.011015038962512389,2.481040974867813,{'C': np.float64(2.481040974867813)},0.7115384615384616,0.7445161290322582,0.6495956873315364,0.6620253164556962,0.6919188985894881,0.03819776290744513,2
3.5594124794006348,0.08217122909977322,0.19241130352020264,0.028527047876245295,0.04207988669606638,{'C': np.float64(0.04207988669606638)},0.44785276073619634,0.44785276073619634,0.44785276073619634,0.1523809523809524,0.37398480864738537,0.1279430460688842,8
3.1409050822257996,0.48722747828780666,0.2055320143699646,0.04197538181196308,0.042070539502879395,{'C': np.float64(0.042070539502879395)},0.44785276073619634,0.44785276073619634,0.44785276073619634,0.1523809523809524,0.37398480864738537,0.1279430460688842,8
2.882258653640747,0.3095328266827049,0.15749043226242065,0.002525771146561516,0.017073967431528128,{'C': np.float64(0.017073967431528128)},0.44785276073619634,0.44785276073619634,0.44785276073619634,0.1523809523809524,0.37398480864738537,0.1279430460688842,8
2.5189576745033264,0.15972880705928533,0.1347103714942932,0.005975026225381861,29.154431891537552,{'C': np.float64(29.154431891537552)},0.7115384615384616,0.7445161290322582,0.6495956873315364,0.6620253164556962,0.6919188985894881,0.03819776290744513,2
2.3938542008399963,0.07016025806029853,0.09839844703674316,0.0076988735945243865,2.5378155082656657,{'C': np.float64(2.5378155082656657)},0.7115384615384616,0.7445161290322582,0.6495956873315364,0.6620253164556962,0.6919188985894881,0.03819776290744513,2
2.2458125352859497,0.06837378804701687,0.09126472473144531,0.01149915337910314,6.79657809075816,{'C': np.float64(6.79657809075816)},0.7115384615384616,0.7445161290322582,0.6495956873315364,0.6620253164556962,0.6919188985894881,0.03819776290744513,2
