feature,corr_with_label,abs_corr_with_label,mutual_info,f_classif,p_value_f_classif,score_combined
char_tfidf_51,-0.12503040454603256,0.12503040454603256,3.419621050904098e-05,7.098744976593439,0.007992721629306676,0.8814907450796284
char_tfidf_13,-0.09458555805775137,0.09458555805775137,0.026191185885079404,4.035153432330419,0.045162479618916646,0.8813300611563721
char_tfidf_64,0.07488182493761639,0.07488182493761639,0.047915677675041346,2.5205912851013377,0.11307551104189466,0.8509926493121264
word_tfidf_81,0.041573576436905235,0.041573576436905235,0.0,0.7739155356190615,0.37948116050522973,0.8105927852471152
lsa_5,0.01366003144484021,0.01366003144484021,0.028166161277849655,0.0834241838633991,0.7728434961567978,0.8003897224936293
char_tfidf_56,0.1405852195424622,0.1405852195424622,0.021943776957330963,9.012728573047632,0.0028313031339187427,0.7966076351751713
char_tfidf_38,-0.23875290521498274,0.23875290521498274,0.0663191610831122,27.020570775728967,3.068368403827308e-07,0.786564813225505
char_tfidf_116,-0.11076637536373185,0.11076637536373185,0.04450854515144753,5.552451978107266,0.01888549853387109,0.7719143844933644
char_tfidf_86,0.014846505355962788,0.014846505355962788,0.0029452259899425126,0.0985488904346511,0.7537244697436432,0.7588447664060687
word_tfidf_44,-0.06928789657847,0.06928789657847,0.0,2.156315303388477,0.142688145656986,0.7306138209599707
word_tfidf_53,0.06682742010164154,0.06682742010164154,0.0,2.0052142169640366,0.15745557042235342,0.7281024620999265
char_tfidf_9,0.08593183211540566,0.08593183211540566,0.005906554866375702,3.3253282113495333,0.06888804120288229,0.72320860504947
word_tfidf_17,-0.029947751412756303,0.029947751412756303,0.0,0.4012597901531823,0.5267633312073545,0.7184026348762454
char_tfidf_81,0.10703571738951131,0.10703571738951131,0.0,5.180471040895178,0.02331436348891315,0.6979242106636993
lsa_7,0.08438136649083586,0.08438136649083586,0.012039230225749709,3.205560389055136,0.0740649821731634,0.6952541950327946
char_tfidf_63,-0.1976484850897358,0.1976484850897358,0.0035270794961785867,18.171904955039587,2.4636515145162316e-05,0.6483771968046425
word_tfidf_55,-0.09852837469836898,0.09852837469836898,0.0008604386389050589,4.381943971134462,0.036884555719991344,0.6355570510711572
char_tfidf_104,-0.0461569987547399,0.0461569987547399,0.0059591035499497735,0.954352653015783,0.3291422274229536,0.6345174775075222
char_tfidf_112,-9.554769162382539e-05,9.554769162382539e-05,0.0030630907511022265,4.080824569121248e-06,0.9983890916431742,0.6232079769398706
char_tfidf_58,-0.1628676082943343,0.1628676082943343,0.03388405253957116,12.180147306507338,0.0005309358446542045,0.6207693288911522
char_tfidf_45,-0.1725541032888223,0.1725541032888223,0.004188372337403212,13.717836048311598,0.00023901041213621063,0.6166078881666164
word_tfidf_3,-0.11061414544510957,0.11061414544510957,0.0,5.537011706919028,0.019050728768276466,0.6092549377458943
